Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite_CURA_MakeAppointment_005,Chrome 121.0.0.0,,,13-02-2024 22:09:33,13-02-2024 22:20:13,10m - 39.629s,PASSED
,,,,,,,
Test Cases/TC_CURA_MakeAppointment_005,Chrome 121.0.0.0,,,13-02-2024 22:09:42,13-02-2024 22:09:53,10.487s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,13-02-2024 22:09:42,13-02-2024 22:09:48,5.422s,PASSED
"click(findTestObject(""Object Repository/CURA_OR/Page_CURA Healthcare Service/div_input-group-addon""))",Chrome 121.0.0.0,,,13-02-2024 22:09:48,13-02-2024 22:09:49,0.448s,PASSED
"click(findTestObject(""Object Repository/CURA_OR/Page_CURA Healthcare Service/th_February 2024""))",Chrome 121.0.0.0,,,13-02-2024 22:09:49,13-02-2024 22:09:49,0.532s,PASSED
"click(findTestObject(""Object Repository/CURA_OR/Page_CURA Healthcare Service/th_2024""))",Chrome 121.0.0.0,,,13-02-2024 22:09:49,13-02-2024 22:09:49,0.350s,PASSED
"com.qa.test.custom_keyword.validateAppointmentDate(date, month, year)",Chrome 121.0.0.0,,,13-02-2024 22:09:49,13-02-2024 22:09:51,1.647s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,13-02-2024 22:09:51,13-02-2024 22:09:53,1.774s,PASSED
,,,,,,,
Test Cases/TC_CURA_MakeAppointment_005,Chrome 121.0.0.0,,,13-02-2024 22:09:53,13-02-2024 22:10:07,13.518s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,13-02-2024 22:09:53,13-02-2024 22:10:02,8.760s,PASSED
"click(findTestObject(""Object Repository/CURA_OR/Page_CURA Healthcare Service/div_input-group-addon""))",Chrome 121.0.0.0,,,13-02-2024 22:10:02,13-02-2024 22:10:02,0.464s,PASSED
"click(findTestObject(""Object Repository/CURA_OR/Page_CURA Healthcare Service/th_February 2024""))",Chrome 121.0.0.0,,,13-02-2024 22:10:02,13-02-2024 22:10:03,0.465s,PASSED
"click(findTestObject(""Object Repository/CURA_OR/Page_CURA Healthcare Service/th_2024""))",Chrome 121.0.0.0,,,13-02-2024 22:10:03,13-02-2024 22:10:03,0.399s,PASSED
"com.qa.test.custom_keyword.validateAppointmentDate(date, month, year)",Chrome 121.0.0.0,,,13-02-2024 22:10:03,13-02-2024 22:10:05,1.492s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,13-02-2024 22:10:05,13-02-2024 22:10:07,1.900s,PASSED
,,,,,,,
Test Cases/TC_CURA_MakeAppointment_005,Chrome 121.0.0.0,,,13-02-2024 22:10:07,13-02-2024 22:10:17,10.440s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,13-02-2024 22:10:07,13-02-2024 22:10:11,4.797s,PASSED
"click(findTestObject(""Object Repository/CURA_OR/Page_CURA Healthcare Service/div_input-group-addon""))",Chrome 121.0.0.0,,,13-02-2024 22:10:11,13-02-2024 22:10:12,0.445s,PASSED
"click(findTestObject(""Object Repository/CURA_OR/Page_CURA Healthcare Service/th_February 2024""))",Chrome 121.0.0.0,,,13-02-2024 22:10:12,13-02-2024 22:10:12,0.538s,PASSED
"click(findTestObject(""Object Repository/CURA_OR/Page_CURA Healthcare Service/th_2024""))",Chrome 121.0.0.0,,,13-02-2024 22:10:12,13-02-2024 22:10:13,0.411s,PASSED
"com.qa.test.custom_keyword.validateAppointmentDate(date, month, year)",Chrome 121.0.0.0,,,13-02-2024 22:10:13,13-02-2024 22:10:14,1.510s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,13-02-2024 22:10:14,13-02-2024 22:10:17,2.710s,PASSED
,,,,,,,
Test Cases/TC_CURA_MakeAppointment_005,Chrome 121.0.0.0,,,13-02-2024 22:10:17,13-02-2024 22:10:28,10.626s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,13-02-2024 22:10:17,13-02-2024 22:10:23,5.607s,PASSED
"click(findTestObject(""Object Repository/CURA_OR/Page_CURA Healthcare Service/div_input-group-addon""))",Chrome 121.0.0.0,,,13-02-2024 22:10:23,13-02-2024 22:10:23,0.517s,PASSED
"click(findTestObject(""Object Repository/CURA_OR/Page_CURA Healthcare Service/th_February 2024""))",Chrome 121.0.0.0,,,13-02-2024 22:10:23,13-02-2024 22:10:24,0.486s,PASSED
"click(findTestObject(""Object Repository/CURA_OR/Page_CURA Healthcare Service/th_2024""))",Chrome 121.0.0.0,,,13-02-2024 22:10:24,13-02-2024 22:10:24,0.360s,PASSED
"com.qa.test.custom_keyword.validateAppointmentDate(date, month, year)",Chrome 121.0.0.0,,,13-02-2024 22:10:24,13-02-2024 22:10:26,1.710s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,13-02-2024 22:10:26,13-02-2024 22:10:28,1.890s,PASSED
,,,,,,,
Test Cases/TC_CURA_MakeAppointment_005,Chrome 121.0.0.0,,,13-02-2024 22:10:28,13-02-2024 22:10:40,11.773s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,13-02-2024 22:10:28,13-02-2024 22:10:33,5.078s,PASSED
"click(findTestObject(""Object Repository/CURA_OR/Page_CURA Healthcare Service/div_input-group-addon""))",Chrome 121.0.0.0,,,13-02-2024 22:10:33,13-02-2024 22:10:34,0.651s,PASSED
"click(findTestObject(""Object Repository/CURA_OR/Page_CURA Healthcare Service/th_February 2024""))",Chrome 121.0.0.0,,,13-02-2024 22:10:34,13-02-2024 22:10:34,0.532s,PASSED
"click(findTestObject(""Object Repository/CURA_OR/Page_CURA Healthcare Service/th_2024""))",Chrome 121.0.0.0,,,13-02-2024 22:10:34,13-02-2024 22:10:35,0.401s,PASSED
"com.qa.test.custom_keyword.validateAppointmentDate(date, month, year)",Chrome 121.0.0.0,,,13-02-2024 22:10:35,13-02-2024 22:10:36,1.534s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,13-02-2024 22:10:36,13-02-2024 22:10:40,3.542s,PASSED
,,,,,,,
Test Cases/TC_CURA_MakeAppointment_005,Chrome 121.0.0.0,,,13-02-2024 22:10:40,13-02-2024 22:10:52,12.743s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,13-02-2024 22:10:40,13-02-2024 22:10:47,6.849s,PASSED
"click(findTestObject(""Object Repository/CURA_OR/Page_CURA Healthcare Service/div_input-group-addon""))",Chrome 121.0.0.0,,,13-02-2024 22:10:47,13-02-2024 22:10:47,0.479s,PASSED
"click(findTestObject(""Object Repository/CURA_OR/Page_CURA Healthcare Service/th_February 2024""))",Chrome 121.0.0.0,,,13-02-2024 22:10:47,13-02-2024 22:10:48,0.541s,PASSED
"click(findTestObject(""Object Repository/CURA_OR/Page_CURA Healthcare Service/th_2024""))",Chrome 121.0.0.0,,,13-02-2024 22:10:48,13-02-2024 22:10:48,0.403s,PASSED
"com.qa.test.custom_keyword.validateAppointmentDate(date, month, year)",Chrome 121.0.0.0,,,13-02-2024 22:10:48,13-02-2024 22:10:49,1.445s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,13-02-2024 22:10:49,13-02-2024 22:10:52,2.946s,PASSED
,,,,,,,
Test Cases/TC_CURA_MakeAppointment_005,Chrome 121.0.0.0,,,13-02-2024 22:10:53,13-02-2024 22:11:03,10.916s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,13-02-2024 22:10:53,13-02-2024 22:10:58,5.274s,PASSED
"click(findTestObject(""Object Repository/CURA_OR/Page_CURA Healthcare Service/div_input-group-addon""))",Chrome 121.0.0.0,,,13-02-2024 22:10:58,13-02-2024 22:10:58,0.551s,PASSED
"click(findTestObject(""Object Repository/CURA_OR/Page_CURA Healthcare Service/th_February 2024""))",Chrome 121.0.0.0,,,13-02-2024 22:10:58,13-02-2024 22:10:59,0.555s,PASSED
"click(findTestObject(""Object Repository/CURA_OR/Page_CURA Healthcare Service/th_2024""))",Chrome 121.0.0.0,,,13-02-2024 22:10:59,13-02-2024 22:10:59,0.406s,PASSED
"com.qa.test.custom_keyword.validateAppointmentDate(date, month, year)",Chrome 121.0.0.0,,,13-02-2024 22:10:59,13-02-2024 22:11:01,1.462s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,13-02-2024 22:11:01,13-02-2024 22:11:03,2.632s,PASSED
,,,,,,,
Test Cases/TC_CURA_MakeAppointment_005,Chrome 121.0.0.0,,,13-02-2024 22:11:04,13-02-2024 22:11:13,9.840s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,13-02-2024 22:11:04,13-02-2024 22:11:08,4.950s,PASSED
